date,majority_sentiment,average_sentiment
2020-10-22,1,0.9711624383926392
2020-10-23,2,0.7580990195274353
2020-10-26,2,0.878677487373352
2020-10-28,0,0.8275942802429199
2020-10-29,2,0.7647965550422668
2020-10-30,1,0.8180046081542969
2020-11-02,0,0.828699141740799
2020-11-03,2,0.74415522813797
2020-11-04,2,0.7342188656330109
2020-11-05,2,0.7620961666107178
2020-11-06,2,0.9101558327674866
2020-11-09,2,0.8400751650333405
2020-11-10,0,0.9458160400390625
2020-11-11,2,0.7405267655849457
2020-11-12,2,0.7085518836975098
2020-11-13,2,0.812529194355011
2020-11-16,2,0.9183588027954102
2020-11-17,0,0.9035423398017883
2020-11-20,0,0.8137590885162354
2020-11-23,0,0.8864664832750956
2020-11-25,0,0.6628370881080627
2020-11-26,0,0.9157596230506897
2020-12-01,0,0.7798421382904053
2020-12-03,0,0.8228396028280258
2020-12-04,0,0.8189659913380941
2020-12-07,2,0.8518718481063843
2020-12-09,0,0.823769768079122
2020-12-10,0,0.8410765926043192
2020-12-15,1,0.8697776794433594
2020-12-16,2,0.8604732155799866
2020-12-30,0,0.8077980279922485
2021-01-06,0,0.9320557713508606
2021-01-07,0,0.8198657184839249
2021-01-10,0,0.9262030720710754
2021-01-11,1,0.9505826830863953
2021-01-13,2,0.7552023231983185
2021-01-14,0,0.8752161065737406
2021-01-16,1,0.9492654800415039
2021-01-19,0,0.8266658782958984
2021-01-20,2,0.7668983340263367
2021-01-21,2,0.5266534686088562
2021-01-22,1,0.9604519804318746
2021-01-26,2,0.82459756731987
2021-01-28,2,0.7657703757286072
2021-02-02,0,0.6973561346530914
2021-02-03,2,0.6498344639937083
2021-02-04,0,0.8384614884853363
2021-02-06,2,0.5613449811935425
2021-02-07,2,0.9175649285316467
2021-02-09,2,0.9414569139480591
2021-02-11,1,0.9410839676856995
2021-02-15,2,0.5919326841831207
2021-02-16,0,0.7562080264091492
2021-02-17,1,0.7323573231697083
2021-02-18,2,0.6868270635604858
2021-02-19,2,0.5150135159492493
2021-02-22,0,0.7004671692848206
2021-02-23,1,0.9358319044113159
2021-02-24,0,0.9014615416526794
2021-02-25,2,0.8331119418144226
2021-02-26,1,0.6942612677812576
2021-03-02,2,0.9316856563091278
2021-03-03,2,0.7543219923973083
2021-03-04,2,0.7336067259311676
2021-03-05,2,0.776263028383255
2021-03-08,2,0.6789514124393463
2021-03-09,2,0.6963362097740173
2021-03-10,2,0.5447796583175659
2021-03-11,2,0.9497711658477783
2021-03-12,1,0.9638795256614685
2021-03-16,0,0.8539861738681793
2021-03-17,2,0.7813601791858673
2021-03-18,0,0.8858096599578857
2021-03-22,1,0.9304567575454712
2021-03-24,2,0.7905727326869965
2021-03-25,2,0.890398383140564
2021-03-26,0,0.8212576508522034
2021-03-30,1,0.79130719602108
2021-04-01,2,0.8229402601718903
2021-04-06,2,0.8068893551826477
2021-04-07,0,0.7674702405929565
2021-04-08,1,0.9056064784526825
2021-04-09,0,0.9194229543209076
2021-04-12,0,0.6805618107318878
2021-04-13,2,0.8540456096331278
2021-04-14,0,0.7075405716896057
2021-04-15,0,0.7961532771587372
2021-04-16,2,0.8238677978515625
2021-04-19,0,0.9101039171218872
2021-04-20,2,0.8060817122459412
2021-04-21,2,0.7276387214660645
2021-04-27,2,0.7506081461906433
2021-04-30,0,0.9257304072380066
2021-05-01,2,0.9426161646842957
2021-05-04,0,0.49983423948287964
2021-05-05,0,0.7624858021736145
2021-05-06,2,0.7516986131668091
2021-05-07,2,0.8332644402980804
2021-05-10,0,0.9254737496376038
2021-05-11,0,0.7847784161567688
2021-05-18,0,0.8227528929710388
2021-05-20,2,0.7945249676704407
2021-05-27,0,0.8922154903411865
2021-05-28,0,0.8971311450004578
2021-05-30,2,0.75379478931427
2021-06-01,0,0.7869784832000732
2021-06-02,0,0.6255819201469421
2021-06-08,2,0.5444895029067993
2021-06-09,2,0.9048514366149902
2021-06-10,2,0.7823073267936707
2021-06-15,2,0.8175791203975677
2021-06-18,0,0.6008951812982559
2021-06-21,0,0.8745070099830627
2021-06-22,2,0.6266818046569824
2021-06-24,0,0.7722235918045044
2021-07-01,0,0.8769074976444244
2021-07-06,0,0.7224390506744385
2021-07-07,0,0.7684796452522278
2021-07-08,2,0.8051047921180725
2021-07-13,0,0.8238188028335571
2021-07-15,2,0.8876762390136719
2021-07-20,0,0.541764423251152
2021-07-21,0,0.49568963050842285
2021-07-22,0,0.8913034945726395
2021-07-27,2,0.9104083180427551
2021-07-28,0,0.8381977081298828
2021-07-29,2,0.8592639267444611
2021-07-30,0,0.8779670596122742
2021-08-03,0,0.5888972282409668
2021-08-05,0,0.8227353394031525
2021-08-07,2,0.9459081888198853
2021-08-10,1,0.9389919638633728
2021-08-12,1,0.4159785211086273
2021-08-17,2,0.9351902604103088
2021-08-19,0,0.9077614545822144
2021-08-20,2,0.7834298014640808
2021-08-22,2,0.5690692067146301
2021-08-27,2,0.7522651553153992
2021-08-31,0,0.754397451877594
2021-09-09,0,0.9003978371620178
2021-09-10,2,0.6455331444740295
2021-09-14,2,0.9343478232622147
2021-09-15,0,0.6426152388254801
2021-09-16,0,0.7444731593132019
2021-09-17,2,0.9329050183296204
2021-09-20,2,0.6730982661247253
2021-10-03,0,0.8349307179450989
2021-10-06,2,0.7999047875404358
2021-10-08,2,0.9586110711097717
2021-10-13,0,0.9407038688659668
2021-10-15,0,0.8779337406158447
2021-10-17,2,0.550351083278656
2021-10-20,0,0.7960132956504822
2021-10-21,0,0.8698263764381409
2021-10-24,1,0.813963770866394
2021-10-27,2,0.9118373394012451
2021-10-28,0,0.7923739552497864
2021-11-02,0,0.8297980825106303
2021-11-03,0,0.8943220973014832
2021-11-04,0,0.9077033996582031
2021-11-09,2,0.8307403922080994
2021-11-10,2,0.9411680698394775
2021-11-11,2,0.7348738610744476
2021-11-12,1,0.7156578004360199
2021-11-17,2,0.9055970311164856
2021-11-18,2,0.8898568749427795
2021-11-25,0,0.8561424016952515
2021-11-26,2,0.8941088318824768
2021-11-29,0,0.9305272102355957
2021-11-30,0,0.93983393907547
2021-12-01,0,0.8045264681180319
2021-12-02,1,0.876939982175827
2021-12-04,2,0.8969321250915527
2021-12-06,2,0.7679421305656433
2021-12-07,2,0.8594290018081665
2021-12-15,2,0.71383136510849
2021-12-16,2,0.9167889952659607
2021-12-17,0,0.7145270109176636
2021-12-21,2,0.9162874817848206
2021-12-27,1,0.966108500957489
2021-12-28,1,0.8343060612678528
2021-12-29,1,0.8490189909934998
2022-01-06,2,0.8001417592167854
2022-01-07,0,0.9335225224494934
2022-01-11,2,0.8496099710464478
2022-01-17,2,0.5364792943000793
2022-01-18,2,0.7865060716867447
2022-01-19,2,0.6877998262643814
2022-01-21,2,0.8325471878051758
2022-01-24,2,0.6500930190086365
2022-01-25,2,0.7477564066648483
2022-01-26,0,0.6978209242224693
2022-01-27,0,0.6707146644592286
2022-01-28,2,0.9171946048736572
2022-02-01,2,0.7854515194892884
2022-02-04,0,0.8423261046409607
2022-02-08,0,0.8183636963367462
2022-02-09,2,0.8041216731071472
2022-02-11,2,0.8822918385267258
2022-02-15,2,0.6399749517440796
2022-02-17,0,0.6732251842816671
2022-02-21,0,0.8641244173049927
2022-02-22,2,0.8475866317749023
2022-02-23,2,0.8518098394076029
2022-02-24,2,0.8776938319206238
2022-02-25,0,0.8860380053520203
2022-02-27,0,0.6681161522865295
2022-03-01,0,0.7565280348062515
2022-03-02,0,0.7307124137878418
2022-03-04,2,0.7398617267608643
2022-03-08,0,0.738551507393519
2022-03-10,0,0.7863741252157423
2022-03-11,2,0.4980562627315521
2022-03-13,0,0.8604071140289307
2022-03-14,2,0.6689974466959635
2022-03-15,2,0.5594139695167542
2022-03-16,0,0.8338823318481445
2022-03-17,0,0.9364426136016846
2022-03-18,0,0.8089112341403961
2022-03-19,0,0.6004985570907593
2022-03-20,2,0.9109564423561096
2022-03-21,0,0.7560326457023621
2022-03-22,2,0.825543829372951
2022-03-23,2,0.8252909183502197
2022-03-25,0,0.880888819694519
2022-03-30,2,0.5018439888954163
2022-03-31,2,0.9523597955703735
2022-04-01,0,0.8526301980018616
2022-04-04,0,0.8300863623619079
2022-04-06,0,0.8631625771522522
2022-04-08,2,0.9480977654457092
2022-04-11,1,0.8457430601119995
2022-04-12,2,0.8527321815490723
2022-04-13,2,0.8668267130851746
2022-04-14,2,0.8757197558879852
2022-04-20,2,0.8899745345115662
2022-04-21,0,0.9159386157989502
2022-04-26,2,0.5521496534347534
2022-04-27,2,0.8246726393699646
2022-04-29,0,0.7289235219359398
2022-05-05,0,0.925632655620575
2022-05-10,0,0.8474584221839905
2022-05-11,0,0.9335225224494934
2022-05-12,0,0.8352573037147522
2022-05-13,2,0.9131803512573242
2022-05-15,0,0.9032957553863525
2022-05-16,0,0.847071905930837
2022-05-17,2,0.8045702576637268
2022-05-18,0,0.7312154650688172
2022-05-19,2,0.5996050238609314
2022-05-24,2,0.807673990726471
2022-05-25,2,0.9505027532577515
2022-05-26,0,0.6994861960411072
2022-05-27,2,0.8490762114524841
2022-05-29,1,0.5302931666374207
2022-05-30,2,0.8632093667984009
2022-06-01,2,0.8172175526618958
2022-06-02,0,0.7176830619573593
2022-06-03,1,0.7157615423202515
2022-06-09,0,0.7664673158100673
2022-06-12,0,0.6145725250244141
2022-06-13,0,0.6680935919284821
2022-06-14,2,0.7673500329256058
2022-06-15,2,0.7407180368900299
2022-06-16,0,0.8173168301582336
2022-06-19,2,0.8571978807449341
2022-06-20,0,0.8865180909633636
2022-06-21,0,0.8684927821159363
2022-06-22,0,0.6868570148944855
2022-06-23,0,0.5280927419662476
2022-06-24,2,0.7314651310443878
2022-06-27,2,0.6566581130027771
2022-06-28,0,0.7280459403991699
2022-07-01,2,0.7384567260742188
2022-07-05,0,0.8515486121177673
2022-07-07,0,0.7622922956943512
2022-07-10,0,0.6862598061561584
2022-07-13,2,0.9537705779075623
2022-07-18,2,0.6843354105949402
2022-07-19,2,0.8015678226947784
2022-07-20,2,0.7853285789489746
2022-07-21,2,0.7616940140724182
2022-07-22,2,0.8770085771878561
2022-07-24,2,0.8966352343559265
2022-07-26,2,0.8680025935173035
2022-07-27,0,0.8702268004417419
2022-08-01,0,0.7990537285804749
2022-08-02,0,0.5938030481338501
2022-08-09,0,0.7371053695678711
2022-08-10,2,0.7409228980541229
2022-08-17,0,0.7731977999210358
2022-08-18,2,0.954468846321106
2022-08-19,0,0.7858532667160034
2022-08-20,0,0.8626074194908142
2022-08-21,1,0.9302928447723389
2022-08-25,0,0.8230033755302429
2022-08-26,2,0.9327596426010132
2022-08-28,0,0.7410792708396912
2022-08-30,2,0.8426581621170044
2022-09-01,0,0.9346133470535278
2022-09-04,0,0.6801893711090088
2022-09-06,2,0.887830893198649
2022-09-13,0,0.8866748213768005
2022-09-14,0,0.85244020819664
2022-09-15,0,0.8715867698192596
2022-09-16,2,0.9364204406738281
2022-09-19,2,0.7338961362838745
2022-09-20,1,0.7132446765899658
2022-09-21,0,0.9038097262382507
2022-09-22,2,0.8927631974220276
2022-09-23,0,0.541291356086731
2022-09-24,1,0.6644276827573776
2022-09-25,1,0.8924062252044678
2022-09-26,0,0.8741156458854675
2022-09-27,2,0.7701175212860107
2022-09-28,1,0.5516347289085388
2022-09-30,0,0.8127897381782532
2022-10-03,2,0.7890376448631287
2022-10-04,2,0.885757178068161
2022-10-06,0,0.8027793765068054
2022-10-07,2,0.7912501096725464
2022-10-11,2,0.7250529527664185
2022-10-12,0,0.9234434366226196
2022-10-13,2,0.6938030322392782
2022-10-14,0,0.9178978800773621
2022-10-16,2,0.900428980588913
2022-10-18,0,0.8051355481147766
2022-10-19,2,0.8906381726264954
2022-10-23,2,0.7408161759376526
2022-10-27,0,0.8113958835601807
2022-10-28,0,0.8124444842338562
2022-11-02,0,0.802423506975174
2022-11-03,2,0.7348079681396484
2022-11-05,2,0.7364593744277954
2022-11-07,0,0.5642666220664978
2022-11-08,0,0.875993549823761
2022-11-09,0,0.7606264650821686
2022-11-13,0,0.7907902598381042
2022-11-22,0,0.5285205245018005
2022-11-25,2,0.8124447464942932
2022-11-28,0,0.8539614081382751
2022-11-29,0,0.7553708155949911
2022-11-30,2,0.79611736536026
2022-12-04,2,0.876579225063324
2022-12-05,0,0.69921875
2022-12-06,0,0.7127116024494171
2022-12-07,2,0.8429646094640096
2022-12-10,2,0.738938182592392
2022-12-11,0,0.925956130027771
2022-12-14,2,0.8232375979423523
2022-12-15,0,0.5270685702562332
2022-12-17,2,0.5815660059452057
2022-12-18,0,0.9211392402648926
2022-12-30,1,0.9450388550758362
2023-01-03,1,0.9085860848426819
2023-01-10,2,0.9235717356204987
2023-01-11,0,0.764462431271871
2023-01-13,2,0.8171690702438354
2023-01-18,2,0.8278938631216685
2023-01-20,0,0.6608448624610901
2023-01-24,0,0.7084538141886393
2023-01-25,2,0.9094374179840088
2023-01-26,0,0.7801563739776611
2023-01-29,1,0.9222267270088196
2023-01-31,2,0.9265578389167786
2023-02-01,2,0.7557517886161804
2023-02-02,2,0.8896854917208353
2023-02-03,2,0.543989896774292
2023-02-07,2,0.6559304594993591
2023-02-09,1,0.9576817154884338
2023-02-13,0,0.7473600308100382
2023-02-14,0,0.8094171285629272
2023-02-15,0,0.7768356800079346
2023-02-17,0,0.7705035209655762
2023-02-18,0,0.9048376679420471
2023-02-20,0,0.8572750687599182
2023-02-21,2,0.9377285440762838
2023-02-23,2,0.5429705381393433
2023-02-24,0,0.9456533193588257
2023-02-28,2,0.7461066246032715
2023-03-02,0,0.9059905409812927
2023-03-05,0,0.819630537714277
2023-03-07,0,0.7974259853363037
2023-03-08,0,0.6462098360061646
2023-03-10,2,0.8887808799743653
2023-03-13,0,0.549598217010498
2023-03-14,0,0.7507672190666199
2023-03-15,2,0.616523414850235
2023-03-17,2,0.7562754154205322
2023-03-19,0,0.9223851561546326
2023-03-21,0,0.8863478600978851
2023-03-22,2,0.6564075748125712
2023-03-23,0,0.8180821537971497
2023-03-26,0,0.8892355859279633
2023-03-30,0,0.7856609490182664
2023-04-03,2,0.5091049671173096
2023-04-07,0,0.9085323214530945
2023-04-16,2,0.6616547902425131
2023-04-23,0,0.7851223746935526
2023-04-24,2,0.9205338060855865
2023-04-25,0,0.8985592126846313
2023-04-26,0,0.7059610486030579
2023-04-27,2,0.8848766684532166
2023-04-28,0,0.7836377322673798
2023-04-29,2,0.9235571920871735
2023-05-02,0,0.7236542701721191
2023-05-03,2,0.7766463160514832
2023-05-04,0,0.8463258412149217
2023-05-05,2,0.7949753318514142
2023-05-07,0,0.8071570992469788
2023-05-08,0,0.8818225562572479
2023-05-09,0,0.7215416729450226
2023-05-10,2,0.9280468225479126
2023-05-11,0,0.7343204816182455
2023-05-12,0,0.7692144513130188
2023-05-16,0,0.5557584762573242
2023-05-17,2,0.7510989308357239
2023-05-22,0,0.8568734526634216
2023-05-23,1,0.7203825116157532
2023-05-24,2,0.8763193249702453
2023-05-25,0,0.7589109142621359
2023-05-26,0,0.7499284545580546
2023-05-29,2,0.8158448934555054
2023-05-30,0,0.8669264316558838
2023-05-31,2,0.6569585204124451
2023-06-01,2,0.7721556425094604
2023-06-02,0,0.7664579749107361
2023-06-04,0,0.7500641644001007
2023-06-07,2,0.834162563085556
2023-06-12,0,0.8418251574039459
2023-06-13,2,0.7950698932011923
2023-06-15,0,0.8495931029319763
2023-06-16,0,0.7373086810112
2023-06-18,1,0.6351698040962219
2023-06-19,2,0.8718288540840149
2023-06-21,0,0.7692129909992218
2023-06-22,0,0.848286360502243
2023-06-26,2,0.9506580829620361
2023-06-27,2,0.9325113594532013
2023-07-06,2,0.7203773260116577
2023-07-07,0,0.6139308214187622
2023-07-11,0,0.7421487697533199
2023-07-13,1,0.7554858326911926
2023-07-16,0,0.8460900187492371
2023-07-18,2,0.7368748933076859
2023-07-19,2,0.8241038918495178
2023-07-21,0,0.7168578505516052
2023-07-25,2,0.8194356560707092
2023-07-26,0,0.737220048904419
2023-08-01,0,0.5010762810707092
2023-08-02,2,0.7602331042289734
2023-08-03,0,0.8067900935808817
2023-08-04,2,0.9271131753921509
2023-08-07,0,0.5676265358924866
2023-08-08,2,0.7218585213025411
2023-08-09,2,0.8362225294113159
2023-08-10,2,0.8955549597740173
2023-08-11,0,0.6904773116111755
2023-08-13,0,0.825509637594223
2023-08-20,0,0.8996997475624084
2023-08-21,2,0.9291948080062866
2023-08-22,0,0.9497108459472656
2023-08-23,2,0.7906079093615214
2023-08-24,0,0.7457837909460068
2023-08-25,2,0.8808073401451111
2023-08-27,1,0.936752200126648
2023-08-28,2,0.7219875852266947
2023-08-29,2,0.528543084859848
2023-08-30,0,0.8049537241458893
2023-08-31,0,0.8872933387756348
2023-09-03,0,0.6361009478569031
2023-09-04,0,0.9038830995559692
2023-09-05,2,0.8154290914535522
2023-09-06,0,0.7341843843460083
2023-09-11,0,0.7505694627761841
2023-09-12,0,0.9315917491912842
2023-09-20,0,0.8306052684783936
2023-09-26,2,0.655041515827179
2023-09-27,2,0.7832871973514557
2023-09-29,2,0.8932992458343506
2023-10-03,2,0.7903325855731964
2023-10-04,2,0.7386321425437927
2023-10-08,0,0.8155478537082672
2023-10-09,0,0.7444706857204437
2023-10-10,0,0.7507874071598053
2023-10-11,2,0.7933513820171356
2023-10-20,2,0.956848680973053
2023-10-23,0,0.8666412234306335
2023-10-25,0,0.8811050057411194
2023-10-26,2,0.8366522192955017
2023-10-31,2,0.725175216794014
2023-11-01,2,0.788149043917656
2023-11-02,2,0.7841495156288147
2023-11-05,2,0.7862294018268585
2023-11-08,2,0.8245323499043783
2023-11-09,2,0.7520562509695689
2023-11-10,0,0.7110375314950943
2023-11-23,2,0.8397622406482697
2023-11-27,0,0.6874319314956665
2023-11-28,2,0.9484871029853821
2023-11-29,2,0.6624222099781036
2023-11-30,2,0.9452832341194153
2023-12-05,2,0.7509514689445496
2023-12-06,2,0.7694819172223409
2023-12-07,0,0.7352803647518158
2023-12-10,2,0.6352189183235168
2023-12-11,2,0.9175314605236053
2023-12-12,2,0.8948021531105042
2023-12-14,2,0.8665252327919006
2023-12-17,2,0.9082126617431641
2023-12-19,0,0.7411008179187775
2023-12-21,0,0.809974879026413
2023-12-22,0,0.843151330947876
2023-12-26,0,0.9095783233642578
2023-12-29,2,0.7510327696800232
2024-01-07,1,0.9149826765060425
2024-01-08,0,0.6782467812299728
2024-01-09,2,0.7768423557281494
2024-01-10,0,0.6914324164390564
2024-01-11,2,0.7432595491409302
2024-01-12,1,0.5328720808029175
2024-01-14,1,0.7988177537918091
2024-01-18,0,0.9040816426277161
2024-01-19,2,0.8102892339229584
2024-01-21,0,0.8135659694671631
2024-01-22,0,0.6746839284896851
2024-01-23,0,0.7607648611068726
2024-01-24,2,0.907305908203125
2024-01-25,0,0.7788820962111155
2024-01-26,2,0.9018643299738566
2024-01-27,2,0.7973644137382507
2024-01-28,2,0.8218193650245667
2024-01-30,2,0.7972708940505981
2024-02-01,1,0.6205391387144724
2024-02-02,2,0.7632839381694794
2024-02-04,0,0.7211025357246399
2024-02-06,2,0.7773060202598572
2024-02-07,0,0.7664535045623779
2024-02-09,0,0.7311060190200805
2024-02-11,1,0.547055721282959
2024-02-12,2,0.8528238534927368
2024-02-15,0,0.8899458050727844
2024-02-25,2,0.8809002637863159
2024-02-26,0,0.7148716449737549
2024-02-27,0,0.69015833735466
2024-02-28,2,0.8776796460151672
2024-02-29,0,0.5974324941635132
2024-03-01,2,0.8345009982585907
